Gene names (ordered locus ),dataset_effect_log2FC,p_value,n_obs,n_growth_rates,mean_formate,mean_phosphate,fdr
MMP0553,-0.714066588789435,0.14709351117746497,11,2,0.11491840901392547,0.8191560336524276,0.3908563590976446
MMP1120,-1.0566320964010119,0.14719750703196552,7,2,-0.20257888795344797,0.2939545142997645,0.3908563590976446
MMP0351,1.4019925282563759,0.14894187540907325,5,2,0.7931174063652026,0.9104371821057379,0.39381241633585473
MMP1558,0.45097763833763654,0.15159162434085321,12,2,0.47092966394119706,0.01995202560356041,0.3991273147202211
MMP1349,-0.8544329059916314,0.1573911687165294,9,2,-0.3279892239225032,0.6190946439416956,0.4126558373072031
MMP1360,0.9535159847948715,0.16087775390931822,11,2,0.5423872022073722,-0.482069787219279,0.4189885543379372
MMP1158,0.8621250244125903,0.1611494439761297,12,2,1.1121081419157766,0.24998311750318583,0.4189885543379372
MMP0821,-0.7258357713995319,0.16224196835641103,12,2,0.7053911527011242,1.4312269241006563,0.4200787894373464
MMP1406,0.5535846860780528,0.16520968426559712,12,2,0.23384903171785312,-0.3197356543601999,0.42599521893277936
MMP1420,0.4831527529553496,0.16593938953595314,12,2,-0.1056010425691898,-0.5887537955245395,0.4261159632528179
MMP1013,-0.6864424394471998,0.1669000068073441,12,2,0.26306134638590645,0.9495037858331067,0.42650036861238094
