Gene names (ordered locus ),comparison,mean_formate,mean_phosphate,log2FC,n_formate,n_phosphate,p_value,fdr
MMP1411,formate_vs_phosphate,-0.2669197448475052,-0.7181668643142761,0.45124711946677093,12,12,0.05546358110456354,0.1745468747813687
MMP1564,formate_vs_phosphate,0.3300104850113055,-0.16584000537083965,0.4958504903821451,12,12,0.05562925488568275,0.1745468747813687
MMP0157,formate_vs_phosphate,0.05315655173609649,-0.677127900978808,0.7302844527149045,12,9,0.055683665574424376,0.1745468747813687
MMP0081,formate_vs_phosphate,-0.1770592562545148,0.3367245602057562,-0.513783816460271,12,12,0.05624403749255796,0.17545986815860187
MMP0410,formate_vs_phosphate,-0.11689969351278848,1.0313711273051842,-1.1482708208179726,11,4,0.057539997880476895,0.17864799341938542
MMP1030,formate_vs_phosphate,0.18734550704840394,0.9387022834530327,-0.7513567764046288,12,5,0.05825034662442323,0.17999633174940258
MMP0183,formate_vs_phosphate,-0.10204951469773144,0.33632626136596033,-0.43837577606369177,12,12,0.060318526620847364,0.18550792149430415
MMP0181,formate_vs_phosphate,-0.05134660494120504,0.6621335931565421,-0.7134801980977471,11,8,0.060950442188178015,0.1865713066041881
MMP0817,formate_vs_phosphate,1.6520034962494623,0.9456686022700639,0.7063348939793984,12,12,0.06375392683944359,0.19424093597811784
MMP0550,formate_vs_phosphate,-0.8704885957793024,0.22315787283953697,-1.0936464686188394,11,11,0.06767917781572826,0.20455588434809843
MMP0373,formate_vs_phosphate,0.8319620341824542,-0.07909317564320513,0.9110552098256594,12,10,0.06776698009078107,0.20455588434809843
MMP1161,formate_vs_phosphate,-0.5971958500738647,1.378277785435989,-1.9754736355098537,11,3,0.07188162666377418,0.21474290391076895
MMP1537,formate_vs_phosphate,0.49904515637411184,1.0652332645787776,-0.5661881082046658,11,6,0.07191087001653611,0.21474290391076895
MMP0151,formate_vs_phosphate,-0.5886706343937833,0.4477232639028266,-1.0363938982966099,5,7,0.0721299017737092,0.21474290391076895
MMP1016,formate_vs_phosphate,1.1742176250797731,0.5826661189554687,0.5915515061243044,12,12,0.07330020569659954,0.21644253852049483
MMP0278,formate_vs_phosphate,0.01939606609454002,-0.568209002464296,0.587605068558836,12,12,0.07336472548010638,0.21644253852049483
MMP0411,formate_vs_phosphate,2.6969839746129614,0.35595917092485735,2.341024803688104,2,5,0.07387425101411749,0.21696401649191263
MMP1712,formate_vs_phosphate,-0.35761430124179955,0.07797318991576198,-0.4355874911575615,12,12,0.07484715049932793,0.2188356149128332
MMP0919,formate_vs_phosphate,0.7703500830156673,-0.09908582677571368,0.869435909791381,6,5,0.07584129811837932,0.22002047131387734
MMP1135,formate_vs_phosphate,1.3756460105212214,0.34263457684241405,1.0330114336788072,5,9,0.07626068865605562,0.22002047131387734
MMP0166,formate_vs_phosphate,-0.8195888558915626,-0.17240749609915113,-0.6471813597924114,11,10,0.07626476459652803,0.22002047131387734
MMP0630,formate_vs_phosphate,1.5701807328354553,0.5192185736988137,1.0509621591366416,8,6,0.07670527369405934,0.2202748991348937
MMP0965,formate_vs_phosphate,-0.7328821151487753,-0.07940503542761165,-0.6534770797211636,12,12,0.0770286457097481,0.2202748991348937
MMP0651,formate_vs_phosphate,0.967094220275126,0.2844236407713514,0.6826705795037746,12,11,0.07949548421872782,0.2253735794190098
MMP0348,formate_vs_phosphate,-0.7163555990513997,0.49590355237720535,-1.212259151428605,5,5,0.07950294979504947,0.2253735794190098
MMP0640,formate_vs_phosphate,-0.2803866682748707,-0.7944187295422903,0.5140320612674196,12,12,0.08066312418489499,0.2274441520932074
MMP1168,formate_vs_phosphate,0.08121031397209227,-0.3227020706033026,0.40391238457539486,12,12,0.08093104798408607,0.2274441520932074
MMP1487,formate_vs_phosphate,0.48279064638992597,-0.4925573563192283,0.9753480027091543,4,2,0.08150781296903398,0.22808194873738263
MMP1373,formate_vs_phosphate,-0.002384040198020206,0.27283800260448016,-0.27522204280250034,12,12,0.08236138428531847,0.22948556647020363
MMP0925,formate_vs_phosphate,-0.29369671336006536,0.3277586949510967,-0.6214554083111621,11,12,0.0836285831040998,0.2320248348249918
MMP0983,formate_vs_phosphate,-0.06835637676929357,-0.6447188772573801,0.5763625004880866,12,12,0.08434359288920583,0.23301704476170423
MMP0715,formate_vs_phosphate,-0.6109415438841308,-0.08642827078853056,-0.5245132730956003,4,8,0.08556582064519994,0.23458505528948656
MMP0203,formate_vs_phosphate,0.8992288252162619,-0.25669870175159415,1.1559275269678562,6,4,0.0856307410412543,0.23458505528948656
MMP1408,formate_vs_phosphate,-0.13271991453539503,-0.3627208456252821,0.2300009310898871,12,12,0.0866673305787933,0.23573336088257923
MMP1120,formate_vs_phosphate,-0.4815667647976789,0.24524254238127421,-0.7268093071789531,8,6,0.08677301627579603,0.23573336088257923
MMP1325,formate_vs_phosphate,-0.30130248677053545,-0.8188740466374361,0.5175715598669006,12,12,0.08717369341715214,0.23583920376756515
MMP0034,formate_vs_phosphate,-0.16577609152503753,0.782258733353949,-0.9480348248789865,11,8,0.08804325169977127,0.23709644122358942
MMP1496,formate_vs_phosphate,-1.2354149949173197,-0.6276101318070283,-0.6078048631102914,12,11,0.08854009724582303,0.23709644122358942
MMP1694,formate_vs_phosphate,0.785015938025499,-2.2151679409553715,3.0001838789808706,2,5,0.08872934303459482,0.23709644122358942
MMP0489,formate_vs_phosphate,0.4530162108257854,1.2239686320384695,-0.7709524212126841,10,11,0.08926486539746967,0.23755384587408254
MMP0902,formate_vs_phosphate,-0.5190386508873068,0.5624601005290747,-1.0814987514163814,10,3,0.09177730577035284,0.2423432173105334
MMP1167,formate_vs_phosphate,0.5267742701785989,1.3662157201000962,-0.8394414499214973,12,8,0.09180793661917445,0.2423432173105334
MMP1315,formate_vs_phosphate,-0.5707581896055556,-0.15348609906439303,-0.41727209054116254,10,11,0.09265194657422225,0.24246612474862622
MMP0487,formate_vs_phosphate,0.220619935321338,-0.7128649001904558,0.9334848355117937,9,9,0.09278508636566814,0.24246612474862622
