Gene names (ordered locus ),matched_growth_rates,log2FC,median_log2FC,mean_p_value,min_p_value,mean_fdr,fdr
MMP1041,2,0.07940562371452203,0.07940562371452203,0.2839167266083629,0.07490265937461285,0.5900578008147186,0.7165132954846829
MMP1168,2,0.6151711244775555,0.6151711244775555,0.2853172222326178,0.146187114161644,0.609275076851465,0.7165132954846829
MMP1190,2,-0.1268072492641723,-0.1268072492641723,0.2871992485139978,0.04071434872754853,0.5671369740330705,0.7165132954846829
MMP1704,2,-1.166880918590862,-1.166880918590862,0.28773587708213155,0.28773587708213155,0.6273160563412237,0.7165132954846829
MMP1314,2,-1.234993955263998,-1.234993955263998,0.28825093784928396,0.17059638553236176,0.6091105630088693,0.7165132954846829
MMP0234,2,0.093272771345498,0.093272771345498,0.28833238787284005,0.0944963781253021,0.6005312741134996,0.7165132954846829
MMP0539,2,-0.040006449716774306,-0.040006449716774306,0.2901318396908433,0.03204771643812519,0.5619809401258418,0.7165132954846829
MMP0187,2,0.10029205033354727,0.10029205033354727,0.29331093798310753,0.18759449519399848,0.6180085543359755,0.7165132954846829
MMP1432,2,-0.8277902968782042,-0.8277902968782042,0.29345116267725535,0.09114062662759209,0.6056111208107984,0.7165132954846829
MMP0818,2,-2.5274957600839665,-2.5274957600839665,0.29396088586132185,0.29396088586132185,0.6351654855217846,0.7165132954846829
MMP1218,2,-0.5391181847722353,-0.5391181847722353,0.29421872127605925,0.07623961018700356,0.5981491826023821,0.7165132954846829
MMP0087,2,-0.33128622960882276,-0.33128622960882276,0.2952337088853877,0.13152835888105902,0.6060264069744711,0.7165132954846829
MMP1043,2,0.6610950921341974,0.6610950921341974,0.29644203926462337,0.025272939256439555,0.5645627478831976,0.7165132954846829
MMP1217,1,1.3713177826602405,1.3713177826602405,0.2974785193561025,0.2974785193561025,0.6384904805691956,0.7165132954846829
MMP0667,2,0.7484892641435624,0.7484892641435624,0.29873366403999446,0.014768584097677619,0.557302392173987,0.7165132954846829
MMP1436,2,0.33534739573199923,0.33534739573199923,0.30188303039308134,0.14725734551978295,0.615372036411987,0.7165132954846829
MMP1364,2,0.8789381913488512,0.8789381913488512,0.3020769988731819,0.21380138500005813,0.6282473853801733,0.7165132954846829
MMP0132,2,-0.41413645599710747,-0.41413645599710747,0.3035379765970756,0.12798601891773934,0.6098363309187335,0.7165132954846829
MMP0966,2,0.828465338840254,0.828465338840254,0.3048743768482428,0.13845637849495074,0.6151006270642584,0.7165132954846829
MMP0708,2,0.16631749815875402,0.16631749815875402,0.3072371069657633,0.16382380046668585,0.6204681641491929,0.7165132954846829
MMP1363,2,0.024530015497440605,0.024530015497440605,0.30899681878856855,0.26293966184436884,0.6462095384517285,0.7165132954846829
MMP0203,1,1.2773892713329937,1.2773892713329937,0.3090763284940025,0.3090763284940025,0.6461898185360571,0.7165132954846829
MMP0251,2,-0.47299904184707076,-0.47299904184707076,0.30935990540365926,0.22788480528093696,0.6368577297500383,0.7165132954846829
MMP0156,2,0.7013899164752095,0.7013899164752095,0.3099787053995988,0.013940878355689117,0.5581398207502908,0.7165132954846829
MMP1003,2,-0.3833129741773021,-0.3833129741773021,0.3105702135199042,0.3105702135199042,0.6479137213087657,0.7165132954846829
MMP1637,2,0.556375375670408,0.556375375670408,0.3113409010874564,0.03402548311864423,0.5790639936794291,0.7165132954846829
MMP1707,2,-0.25196090163166474,-0.25196090163166474,0.31401891280862315,0.10600492007930254,0.6129585343566124,0.7165132954846829
MMP1507,2,0.4058467430194864,0.4058467430194864,0.3158412005934529,0.1871262349381955,0.62926242479743,0.7165132954846829
MMP0981,2,0.6856844705673644,0.6856844705673644,0.31747467885612296,0.03113904306171816,0.5802575435713322,0.7165132954846829
MMP1039,2,0.26028574600384025,0.26028574600384025,0.3208996472136434,0.20754878232117674,0.6409892255532048,0.7165132954846829
MMP0346,2,-0.035177365997630106,-0.035177365997630106,0.3212574229671813,0.1512122607751948,0.6277849554047505,0.7165132954846829
MMP1658,2,0.432362904552759,0.432362904552759,0.3214190545461311,0.15274378855909468,0.6285124658710297,0.7165132954846829
MMP1679,2,-1.1734462891658917,-1.1734462891658917,0.32429618632506396,0.28431528146739254,0.6537238969976632,0.7165132954846829
MMP0386,2,0.6504758066863571,0.6504758066863571,0.32608840213509827,0.19479913276049807,0.6354671538486667,0.7165132954846829
MMP0291,2,-0.1388791151677073,-0.1388791151677073,0.32772990432845,0.24202840038621506,0.6495795093797122,0.7165132954846829
MMP1510,2,0.9608422879605298,0.9608422879605298,0.3283092672751487,0.2622190306984946,0.6510056094825011,0.7165132954846829
MMP1063,2,-0.4753617604661344,-0.4753617604661344,0.32925333511644783,0.0042869900867166305,0.5194610192349369,0.7165132954846829
MMP1488,1,0.1959991716391506,0.1959991716391506,0.329281592792424,0.329281592792424,0.659930847591469,0.7165132954846829
MMP1424,2,-0.5196614117658082,-0.5196614117658082,0.3293469552249874,0.1294225727354461,0.6257035367176228,0.7165132954846829
