Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP1158,xs,s,1.0704860785853214,1.4189239137745429,-0.34843783518922145,3,3,0.35901885620132634,0.8949643824593566
MMP1671,xs,s,-0.5450270678003113,-0.030527918355954458,-0.5144991494443568,2,3,0.35903563201570976,0.8949643824593566
MMP1433,xs,s,0.08791601369734918,-0.3929485777652419,0.4808645914625911,3,3,0.3604356053443361,0.8949643824593566
MMP1151,xs,s,-0.9778100790466215,-1.4489254307258417,0.47111535167922014,3,3,0.360906885043711,0.8949643824593566
MMP0295,xs,s,-0.22146282817615717,0.21010286215893417,-0.43156569033509135,3,3,0.36124522778230833,0.8949643824593566
MMP0596,xs,s,0.46286988946426627,0.19939694498669183,0.2634729444775744,3,3,0.36380015175299024,0.8949643824593566
MMP0081,xs,s,0.3699433873768075,-0.27868011290072087,0.6486235002775284,3,3,0.3646700457132941,0.8949643824593566
MMP1362,xs,s,0.030114489341829587,-0.20608276348044607,0.23619725282227566,3,3,0.36680225989832055,0.8949643824593566
MMP1274,xs,s,-0.43702507864519236,-1.190402932468359,0.7533778538231666,3,3,0.3687768730550793,0.8949643824593566
MMP1045,xs,s,-0.37339812735511096,-0.6282811154812892,0.2548829881261782,3,3,0.3687910136287072,0.8949643824593566
MMP1510,xs,s,0.535119462262268,-0.5903324830286041,1.1254519452908722,3,3,0.3698301442452304,0.8949643824593566
MMP1668,xs,s,-0.44055515820203217,-1.6304629000460675,1.1899077418440354,3,3,0.3702954213222081,0.8949643824593566
MMP0278,xs,s,0.34227986257954396,-0.05008977885884671,0.39236964143839065,3,3,0.37039539310782743,0.8949643824593566
MMP0051,xs,s,-0.16774233492746274,-0.6574759810726821,0.4897336461452194,3,3,0.3705037987397378,0.8949643824593566
MMP0765,xs,s,0.6355235042119106,1.086726911589044,-0.4512034073771335,3,3,0.3706469283189254,0.8949643824593566
MMP1188,xs,s,-0.36747510016397306,-0.7902025032736771,0.4227274031097041,3,3,0.37207897464091416,0.8949643824593566
