Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP1260,xs,i,-1.6110586496123604,-2.1589478868719287,0.5478892372595683,3,3,0.4861358916633137,0.8025993487568304
MMP0224,xs,i,0.5617164524125738,0.7076055578173065,-0.14588910540473266,3,2,0.486461520560704,0.8025993487568304
MMP0432,xs,i,-0.012438888519510305,0.3641758353711657,-0.376614723890676,3,2,0.48707679306437335,0.8025993487568304
MMP1579,xs,i,-2.1914192149311877,-1.6724706801218963,-0.5189485348092915,3,3,0.4886498104889781,0.8025993487568304
MMP0651,xs,i,0.4652142466659641,0.050837654659989885,0.4143765920059742,3,3,0.4935562268472359,0.8025993487568304
MMP0893,xs,i,1.1785243338478202,0.4212913576640414,0.7572329761837788,3,3,0.4937906876373574,0.8025993487568304
MMP1418,xs,i,-1.5360364647006577,-1.3628317117337438,-0.17320475296691384,3,3,0.4946241888038727,0.8025993487568304
MMP1046,xs,i,-0.975428450695793,-0.7096401172775293,-0.2657883334182637,3,3,0.4950163648021169,0.8025993487568304
MMP1406,xs,i,-0.4617466566476034,-0.23182798064328683,-0.22991867600431656,3,3,0.49692237722040977,0.8030906806045977
MMP0290,xs,i,-0.7339978637380761,-0.9998300427608209,0.2658321790227448,3,3,0.49928184222628486,0.8043093342616358
MMP0872,xs,i,-0.9247607525520642,-1.584792542675492,0.6600317901234278,3,3,0.5016510751796381,0.8055180712824414
MMP0817,xs,i,0.780398319119846,1.4733310915465054,-0.6929327724266594,3,3,0.5050751720437215,0.8055180712824414
MMP1372,xs,i,0.4740383178010223,1.296492852503626,-0.8224545347026035,3,3,0.5063408606986423,0.8055180712824414
MMP1593,xs,i,-0.35935350943925853,-1.2207866663689557,0.8614331569296971,2,2,0.5064634579919541,0.8055180712824414
MMP0331,xs,i,-0.988975780387867,-1.7967121807229445,0.8077364003350774,3,2,0.508523144454424,0.8062344790242609
MMP0669,xs,i,-1.3727455531591175,-0.9551363154067003,-0.4176092377524172,3,3,0.5135752115804222,0.8116756498479228
MMP0044,xs,i,0.33444177240637724,0.025232455992494702,0.30920931641388255,3,3,0.5156097792278536,0.8123286144438825
MMP1509,xs,i,-0.1704159519944749,-0.37017381375771835,0.19975786176324345,3,3,0.5217090925487435,0.8193613020906599
MMP0597,xs,i,0.14070498369369863,-0.2083648721310497,0.34906985582474837,3,3,0.525105025485883,0.82023396766667
MMP0083,xs,i,0.603560080236948,-0.056471710446700074,0.660031790683648,3,3,0.5255391289840341,0.82023396766667
MMP0274,xs,i,-0.2014524196781281,0.18918348775293783,-0.3906359074310659,3,3,0.5271784163231722,0.8202372253972338
MMP0141,xs,i,-0.22783630767087876,-1.0058040124874477,0.777967704816569,2,3,0.5316570180944883,0.8235550709651723
MMP1712,xs,i,0.6453703106178508,0.4065423864527374,0.2388279241651134,3,3,0.5325984890074168,0.8235550709651723
MMP0061,xs,i,0.640646489986483,-0.4774831789137289,1.1181296689002118,2,3,0.5383214859988426,0.8241856792352986
MMP0259,xs,i,-1.2844924949646395,-1.0495521901617835,-0.234940304802856,3,3,0.5389648531658994,0.8241856792352986
MMP1176,xs,i,-1.1001170245884921,-0.7601488140221354,-0.33996821056635673,3,3,0.5399575190281111,0.8241856792352986
MMP1018,xs,i,0.9946243178598563,0.734993461589282,0.25963085627057425,3,3,0.5424616349923554,0.8241856792352986
MMP1515,xs,i,-0.9937889528005259,-1.0649739104975986,0.07118495769707267,3,3,0.5436034456472071,0.8241856792352986
MMP1105,xs,i,-0.8681190861305116,-0.4774831789137289,-0.3906359072167827,3,3,0.5444303139629424,0.8241856792352986
MMP0180,xs,i,0.5158819446814101,-0.1441498455803956,0.6600317902618057,3,3,0.5457371689622936,0.8241856792352986
MMP1421,xs,i,-1.1332955825935729,-1.382231684775582,0.24893610218200912,3,3,0.5475251023290467,0.8241856792352986
