Gene names (ordered locus ),growth_rate,bio_rep,log2_ratio
MMP0129,s,2.0,0.5626698261027023
MMP0132,f,1.0,-0.5961975302927903
MMP0132,f,2.0,-0.3046849569492262
MMP0132,m,1.0,-0.6722163865418546
MMP0132,m,2.0,-0.4749676438661113
MMP0132,m,3.0,-0.36401349625437696
MMP0132,s,1.0,-0.5837641594189863
MMP0132,s,2.0,-0.5997602403216361
MMP0132,s,3.0,0.6958965054410683
MMP0132,xs,1.0,0.33652038538452383
MMP0132,xs,2.0,1.0761783633947437
MMP0132,xs,3.0,-0.11668437949917086
MMP0133,f,1.0,-0.8553765167624063
MMP0133,f,2.0,-0.7592697105267221
MMP0133,f,3.0,-0.8782400385996327
MMP0133,m,1.0,-1.0817207176827885
MMP0133,m,2.0,-1.135522607070934
MMP0133,m,3.0,-0.29443843641831685
MMP0133,s,1.0,-1.2134695547830556
MMP0133,s,2.0,-1.197594482625406
MMP0133,s,3.0,-0.8742544707901861
MMP0133,xs,1.0,-0.13051798576276183
MMP0133,xs,2.0,-0.7005745884022447
MMP0133,xs,3.0,0.13365048096490229
MMP0135,f,1.0,-0.8604985343662345
MMP0135,f,2.0,-0.3157014531479169
MMP0135,f,3.0,-0.5373650712101272
MMP0135,m,1.0,-0.4977883584453509
