Gene names (ordered locus ),growth_rate,mean_formate,mean_phosphate,log2FC_within_growth_rate,n_formate,n_phosphate,p_value_within_growth_rate,fdr_within_growth_rate
MMP0187,xs,-0.009247505647247134,-0.5212384248456795,0.5119909191984324,3,3,0.18759449519399848,0.5413075680469408
MMP0203,xs,1.418035760392501,0.14064648905950722,1.2773892713329937,3,2,0.3090763284940025,0.6461898185360571
MMP0212,xs,0.11171595091449926,-0.5218985459130223,0.6336144968275216,3,3,0.1976093016102651,0.5517596483445959
MMP0214,xs,0.05745842409647697,-0.4841180555803188,0.5415764796767958,2,3,0.3886089991029284,0.6866212075309207
MMP0219,xs,0.7024915838030669,-0.9988915611226769,1.7013831449257437,3,3,0.3179991220624699,0.6515109717456443
MMP0224,xs,-0.43245455235625324,0.5617164524125738,-0.994171004768827,1,3,,
MMP0227,xs,0.6775225536800451,0.047751859941749464,0.6297706937382956,3,3,0.13654682952912178,0.49874569246135775
MMP0234,xs,0.5708988149340617,0.7602530341854008,-0.1893542192513391,3,3,0.482168397620378,0.7361814020449936
MMP0235,xs,0.8726132298178844,1.3016105371742255,-0.4289973073563411,2,2,0.45833970043644945,0.7223626162686917
MMP0245,xs,-0.4151568368484522,0.34435755364711057,-0.7595143904955628,3,3,0.3558381937953983,0.6807339359564142
MMP0249,xs,-0.7524750525593716,-1.0320701188122694,0.27959506625289776,3,3,0.590798925630255,0.8134216902633675
MMP0250,xs,0.4508302683434267,-0.13329558185456739,0.5841258501979941,3,3,0.2260617675033403,0.5870942519691559
MMP0251,xs,-0.2586868809507759,0.43351765782866525,-0.6922045387794411,3,3,0.22788480528093696,0.5870942519691559
MMP0253,xs,-0.5490066009819122,0.4238350313355101,-0.9728416323174223,3,3,0.26996914502478403,0.6123247729637774
MMP0257,xs,0.8327129959102048,-0.06908055594934297,0.9017935518595477,3,3,0.27024440114793596,0.6123247729637774
MMP0258,xs,-0.835364111418459,-2.103862850508895,1.268498739090436,3,3,0.14985230389900292,0.5089720356990696
MMP0259,xs,0.23644914734802044,-1.2844924949646395,1.5209416423126598,3,3,0.05717435022910948,0.3897415080343707
MMP0260,xs,-0.43480121993770116,-1.1341044948618793,0.6993032749241781,3,3,0.019308743896189456,0.32822614781107856
MMP0261,xs,-1.2979965820033081,0.4516669188439115,-1.7496635008472197,2,3,0.09219915237799517,0.4648811461820055
MMP0262,xs,-0.3966690153654964,-0.4706127395677939,0.0739437242022975,1,1,,
MMP0263,xs,-1.3694506254157741,-0.21460020195782042,-1.1548504234579537,3,2,0.439561507425985,0.7155564213461237
MMP0274,xs,0.763013569064957,-0.2014524196781281,0.9644659887430851,2,3,0.2251965322269442,0.5870942519691559
MMP0278,xs,0.34227986257954396,-0.32230911278660557,0.6645889753661496,3,3,0.1903766568824816,0.5420135407713006
MMP0281,xs,0.7997539641298776,2.384992049161245,-1.5852380850313672,3,3,0.14090465745900016,0.49874569246135775
MMP0284,xs,-0.7180601328123088,0.38263595534078054,-1.1006960881530894,2,2,0.1155303788214222,0.4698882634417508
MMP0285,xs,-0.16983565681886156,-1.2270576200068886,1.057221963188027,3,3,0.45567492261188547,0.7223626162686917
MMP0289,xs,0.7653892380611403,0.4085725793942605,0.35681665866687984,3,3,0.7558514341648611,0.8955498020460043
MMP0290,xs,0.4054769493256068,-0.7339978637380761,1.139474813063683,3,3,0.04900586191203894,0.3706068307097945
MMP0291,xs,1.5784516380086402,2.370362299262967,-0.7919106612543267,3,2,0.4134314082706849,0.6984321172879983
MMP0295,xs,-0.22146282817615717,1.475130028111277,-1.6965928562874342,3,3,0.022898241353635915,0.32822614781107856
MMP0296,xs,0.7890721431005211,1.3289940539744567,-0.5399219108739356,3,1,,
MMP0297,xs,-0.09884272355377925,-0.7532363631496007,0.6543936395958215,3,3,0.20689997948713504,0.566422029760286
MMP0298,xs,-0.28988497585091916,-1.2406049462037843,0.950719970352865,3,3,0.41087660790815034,0.6971854067783035
MMP0300,xs,0.7329203821082574,-0.6710059460255433,1.4039263281338008,1,1,,
MMP0308,xs,0.3450321352207526,1.1406464895154644,-0.7956143542947118,3,2,0.09760207262633308,0.4648811461820055
