label,p_value_formate,fdr_formate,description,category,venn_region,p_value_phosphate,fdr_phosphate
De novo IMP biosynthetic process [Process],,,De novo IMP biosynthetic process,Process,phosphate_only,0.0004,0.0052
Organophosphate metabolic process [Process],,,Organophosphate metabolic process,Process,phosphate_only,0.00054,0.0068
Sulfur compound metabolic process [Process],,,Sulfur compound metabolic process,Process,phosphate_only,0.00089,0.0111
One-carbon metabolism [Keyword],,,One-carbon metabolism,Keyword,phosphate_only,0.00093,0.0376
"Mixed, incl. Cell projection, and Signaling [NetworkNeighborAL]",,,"Mixed, incl. Cell projection, and Signaling",NetworkNeighborAL,phosphate_only,0.001,0.0127
One-carbon metabolic process [Process],,,One-carbon metabolic process,Process,phosphate_only,0.0014,0.0166
Biosynthesis of amino acids [KEGG],,,Biosynthesis of amino acids,KEGG,phosphate_only,0.0016,0.0114
Purine ribonucleotide metabolic process [Process],,,Purine ribonucleotide metabolic process,Process,phosphate_only,0.0017,0.0204
Leucine biosynthetic process [Process],,,Leucine biosynthetic process,Process,phosphate_only,0.0021,0.0241
Propanoate metabolism [KEGG],,,Propanoate metabolism,KEGG,phosphate_only,0.0021,0.014
Phosphorus metabolic process [Process],,,Phosphorus metabolic process,Process,phosphate_only,0.0023,0.0251
Phosphate-containing compound metabolic process [Process],,,Phosphate-containing compound metabolic process,Process,phosphate_only,0.0024,0.0257
Tetrahydromethanopterin S-methyltransferase activity [NetworkNeighborAL],,,Tetrahydromethanopterin S-methyltransferase activity,NetworkNeighborAL,phosphate_only,0.0026,0.0313
"Coenzyme F420 hydrogenase activity, and Peptidase A31, coenzyme F420-reducing hydrogenase delta subunit [NetworkNeighborAL]",,,"Coenzyme F420 hydrogenase activity, and Peptidase A31, coenzyme F420-reducing hydrogenase delta subunit",NetworkNeighborAL,phosphate_only,0.0026,0.0313
Biotin metabolism [KEGG],,,Biotin metabolism,KEGG,phosphate_only,0.0026,0.0162
C5-Branched dibasic acid metabolism [KEGG],,,C5-Branched dibasic acid metabolism,KEGG,phosphate_only,0.0033,0.0187
Isoleucine biosynthetic process [Process],,,Isoleucine biosynthetic process,Process,phosphate_only,0.0043,0.0463
"Valine, leucine and isoleucine biosynthesis [NetworkNeighborAL]",,,"Valine, leucine and isoleucine biosynthesis",NetworkNeighborAL,phosphate_only,0.0043,0.0465
Lysine biosynthesis [KEGG],,,Lysine biosynthesis,KEGG,phosphate_only,0.0051,0.0255
Pyrimidine metabolism [KEGG],,,Pyrimidine metabolism,KEGG,phosphate_only,0.0107,0.0475
