Gene names (ordered locus ),growth_rate,bio_rep,tech_rep,value,Anabolism/Catabolism,Assigned functional subsystem,Annotation (Uniprot),Automatic classification (RAST),Present in dataset
MMP0040,f,3,,7.459016395,Other,Other/unassigned,Type II secretion system protein putative subunit 1,Inteins; <br>Inteins,yes
MMP0040,exp,2,,3.657321348,Other,Other/unassigned,Type II secretion system protein putative subunit 1,Inteins; <br>Inteins,yes
MMP0040,exp,3,,1.605715952,Other,Other/unassigned,Type II secretion system protein putative subunit 1,Inteins; <br>Inteins,yes
MMP0041,xs,1,,0.807516774,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,xs,2,,0.902072538,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,xs,3,,1.77370741,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,i,1,,0.902988216,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,i,2,,1.490723121,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,i,3,,0.983980968,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,f,1,,0.983561643,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,f,2,,1.632666902,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,f,3,,1.367486339,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,exp,1,,0.583100634,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,exp,2,,0.541825385,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0041,exp,3,,0.883143774,Anabolism,RNA modification/replication,Transcription initiation factor IIB (TFIIB),Inteins; <br>RNA polymerase archaeal initiation factors,yes
MMP0042,xs,1,,0.942102903,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,xs,2,,1.082487047,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,xs,3,,0.967476769,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,i,1,,1.667055167,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,i,2,,2.981446242,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,i,3,,1.341792228,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,f,1,,1.967123288,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,f,2,,2.260615711,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,f,3,,0.4143898,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,exp,1,,0.416500453,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,exp,2,,1.625476155,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0042,exp,3,,1.605715952,Anabolism,Ribosome biogenesis,Uncharacterized protein,rRNA modification Archaea,yes
MMP0043,xs,1,,0.628068602,Anabolism,Lipid biosynthesis,Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2),Lipid biosynthesis,yes
MMP0043,xs,2,,0.360829016,Anabolism,Lipid biosynthesis,Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2),Lipid biosynthesis,yes
MMP0043,i,2,,1.987630828,Anabolism,Lipid biosynthesis,Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2),Lipid biosynthesis,yes
MMP0043,i,3,,1.341792228,Anabolism,Lipid biosynthesis,Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2),Lipid biosynthesis,yes
MMP0044,xs,1,,1.076689032,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,xs,2,,1.683868739,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,xs,3,,1.105687736,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,i,1,,0.61742784,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,i,2,,1.192578497,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,i,3,,1.431245044,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,f,1,,1.639269407,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,f,2,,1.657784856,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,f,3,,1.243169399,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,exp,1,,1.041251133,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,exp,2,,1.625476155,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0044,exp,3,,1.284572761,Anabolism,Lipid biosynthesis,Ribonuclease J (RNase J) (EC 3.1.-.-),Lipid biosynthesis,yes
MMP0045,xs,1,,3.454377312,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,xs,2,,0.721658031,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,xs,3,,1.074974187,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,i,1,,2.222740223,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,i,2,,3.478353949,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,i,3,,2.683584457,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,f,1,,0.874277017,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,f,2,,0.75353857,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,f,3,,1.243169399,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,exp,1,,1.388334844,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,exp,2,,2.438214232,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0045,exp,3,,1.338096627,Anabolism,Lipid biosynthesis,Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10),Lipid biosynthesis,yes
MMP0046,xs,1,,0.628068602,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0046,xs,2,,0.0,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0046,xs,3,,0.0,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0046,i,1,,0.0,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0046,i,2,,0.0,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0046,i,3,,0.0,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0046,f,1,,0.0,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0046,f,3,,0.0,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0046,exp,1,,0.0,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0046,exp,2,,0.812738077,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0046,exp,3,,0.802857976,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0049,xs,3,,0.0,Other,Other/unassigned,Carbonic anhydrase (Gamma family Zn(II)-dependent enzymes),- none -,yes
MMP0049,i,2,,0.0,Other,Other/unassigned,Carbonic anhydrase (Gamma family Zn(II)-dependent enzymes),- none -,yes
MMP0049,i,3,,0.894528152,Other,Other/unassigned,Carbonic anhydrase (Gamma family Zn(II)-dependent enzymes),- none -,yes
MMP0049,f,1,,0.0,Other,Other/unassigned,Carbonic anhydrase (Gamma family Zn(II)-dependent enzymes),- none -,yes
MMP0049,f,2,,0.0,Other,Other/unassigned,Carbonic anhydrase (Gamma family Zn(II)-dependent enzymes),- none -,yes
MMP0049,exp,1,,0.0,Other,Other/unassigned,Carbonic anhydrase (Gamma family Zn(II)-dependent enzymes),- none -,yes
MMP0049,exp,2,,0.406369039,Other,Other/unassigned,Carbonic anhydrase (Gamma family Zn(II)-dependent enzymes),- none -,yes
MMP0050,xs,1,,0.502454882,Anabolism,Vitamin/cofactor biosynthesis,"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)","Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism in plants; <br>Riboflavin synthesis cluster",yes
MMP0050,xs,2,,0.773205033,Anabolism,Vitamin/cofactor biosynthesis,"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)","Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism in plants; <br>Riboflavin synthesis cluster",yes
MMP0050,xs,3,,0.51598761,Anabolism,Vitamin/cofactor biosynthesis,"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)","Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism in plants; <br>Riboflavin synthesis cluster",yes
MMP0050,i,1,,0.714452215,Anabolism,Vitamin/cofactor biosynthesis,"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)","Riboflavin, FMN and FAD metabolism; <br>Riboflavin, FMN and FAD metabolism in plants; <br>Riboflavin synthesis cluster",yes
